DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;psl;gn;20181126;d,e,f
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;psl;gn;20190315;d
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;psl;gn;20190318;e,f
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;tasmax;gn;20181126;d,e,f
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;tasmax;gn;20190315;d
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;tasmax;gn;20190318;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;huss;gr;20180917;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;huss;gr;20190219;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;huss;gr;20190219;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;psl;gr;20180917;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;psl;gr;20190219;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;psl;gr;20190219;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical;none;r1i1p1f2;day;tasmax;gr;20180917;d,e,f
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126;none;r1i1p1f2;day;tasmax;gr;20190219;d
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585;none;r1i1p1f2;day;tasmax;gr;20190219;e,f
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical;none;r1i1p1f2;day;huss;gr;20191021;d,e,f
