DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.MOHC.HadCM3.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,1b1b52cf-0d34-4e67-8fbd-d749ca0ecba4
CMIP5.output.MIROC.MIROC-ESM.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,06b584a5-93ba-4f80-82e0-c3e675a476b8
CMIP5.output.MOHC.HadGEM2-ES.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,8c5c43de-6f44-4bb5-9bf9-3c7f9481b431
CMIP5.output.CMCC.CMCC-CM.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,999ef2e3-56ec-486f-8698-2e40c5faf3be
CMIP5.output.MPI-M.MPI-ESM-P.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,35acac96-5f51-4b53-a546-8c5e3dee5173
CMIP5.output.MPI-M.MPI-ESM-MR.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ebcd441c-da92-4011-8371-6cd9c9b1761b
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,89bf35a9-b574-4e05-a14e-84b5dbcf54ff
CMIP5.output.CCCma.CanESM2.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,87370ebf-c0fe-491e-b75e-f2c858f90391
CMIP5.output.NASA-GISS.GISS-E2-R-CC.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ae3f075b-5bc3-4f7f-8be2-3f02c1fe5e06
CMIP5.output.BNU.BNU-ESM.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,7e168a98-4880-416c-92c0-687274884100
CMIP5.output.CNRM-CERFACS.CNRM-CM5-2.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b215e0d0-eba3-4cbe-b1e3-c3a14bcf26a1
CMIP5.output.MIROC.MIROC4h.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3c0314fa-7aad-4bf2-92bf-7928d23e262a
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c48beb85-d791-4be3-b2a1-d828c4daea64
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3695f30b-0c3b-482a-858f-b40548360f45
CMIP5.output.IPSL.IPSL-CM5A-MR.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,813421ed-0e77-4ff9-9f95-c121a3c46bee
CMIP5.output.IPSL.IPSL-CM5A-LR.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,d7147eba-8034-47a0-a60e-8fb77f743348
CMIP5.output.NOAA-GFDL.GFDL-CM3.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ccd04e35-0aa3-4d8e-8093-ef94d3293ef1
CMIP5.output.CNRM-CERFACS.CNRM-CM5.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b3491584-deb9-4a3a-89d2-f99e810a86f5
CMIP5.output.NASA-GISS.GISS-E2-H.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,56837076-9d8b-4036-8a4e-53e4dcdcaccd
CMIP5.output.MIROC.MIROC-ESM-CHEM.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,fcabf1bd-2432-4af0-8659-3b28bd7694e9
CMIP5.output.NIMR-KMA.HadGEM2-AO.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,cdd9ea13-021a-40cd-9c48-4752660f2ae6
CMIP5.output.NASA-GISS.GISS-E2-R.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ce84558a-ff27-4dde-b0dd-0c2f085d111b
CMIP5.output.MOHC.HadGEM2-CC.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e97032fc-e8da-41be-a392-9b8c7fa109d9
CMIP5.output.NASA-GISS.GISS-E2-H-CC.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f945610b-bbbc-4b5f-89f8-1e58e09779bf
